rank,lemma,pos,hebrew,english,example_sentence,lesson_introduced,tier
1,bir,det/num,אחד/a,one/a,"Bir çay lütfen.",L01-01,1
2,bu,pron/det,זה/הזה,this,"Bu ev güzel.",L01-01,1
3,da/de,conj,גם,also,"Ben de geldim.",L01-02,1
4,ve,conj,ו,and,"Ali ve Ayşe",L01-01,1
5,için,postp,בשביל/עבור,for,"Senin için aldım.",L01-06,1
6,ile,postp,עם,with,"Seninle geldim.",L01-06,1
7,o,pron,הוא/היא/זה,he/she/it/that,"O çok güzel.",L01-01,1
8,ne,pron,מה,what,"Ne istiyorsun?",L01-02,1
9,var,adj/v,יש,there is/exist,"Sütümüz var.",L01-03,1
10,yok,adj,אין,there isn't/not exist,"Param yok.",L01-03,1
11,çok,adv/adj,הרבה/מאוד,very/much,"Çok teşekkürler.",L01-01,1
12,ama,conj,אבל,but,"Güzel ama pahalı.",L01-04,1
13,her,det,כל,every,"Her gün çalışıyorum.",L01-05,1
14,daha,adv,עוד/יותר,more,"Daha büyük.",L01-08,1
15,şu,pron,זה (הלז),that (over there),"Şu adam kim?",L01-04,1
16,ki,conj,ש,that (conjunction),"Biliyorum ki gelecek.",L02-03,1
17,en,adv,הכי,most (superlative),"En güzel şehir.",L01-10,1
18,ya,conj/interj,או,or/well,"Ya sen ya ben.",L02-01,1
19,hem,conj,גם,both/also,"Hem güzel hem akıllı.",L02-05,1
20,gibi,postp,כמו,like/as,"Sen gibi.",L02-02,1
21,gün,n,יום,day,"Bugün güzel bir gün.",L01-02,1
22,zaman,n,זמן,time,"Zaman çok hızlı geçiyor.",L01-03,1
23,yıl,n,שנה,year,"Bu yıl Türkiye'ye gideceğim.",L01-07,1
24,ev,n,בית,house/home,"Evde kimse yok.",L01-01,1
25,su,n,מים,water,"Bir bardak su lütfen.",L01-03,1
26,iş,n,עבודה,work/job,"İşe gidiyorum.",L01-06,1
27,göz,n,עין,eye,"Gözlerin çok güzel.",L02-04,1
28,el,n,יד,hand,"Ellerini yıka.",L01-09,1
29,baş,n,ראש,head,"Başım ağrıyor.",L02-03,1
30,söz,n,מילה/הבטחה,word/promise,"Söz verdim.",L02-02,1
31,yol,n,דרך,way/road,"Bu yol nereye gidiyor?",L01-08,1
32,adam,n,איש/אדם,man,"O adam kim?",L01-04,1
33,kadın,n,אישה,woman,"O kadın doktor.",L01-04,1
34,çocuk,n,ילד,child,"Çocuklar parkta oynuyor.",L01-04,1
35,yer,n,מקום,place,"Güzel bir yer.",L01-05,1
36,şey,n,דבר,thing,"Bir şey söylemek istiyorum.",L01-05,1
37,ara,n/v,בין/ביניים,between/interval,"Arada bir geliyorum.",L02-04,1
38,para,n,כסף,money,"Param yok.",L01-09,1
39,dünya,n,עולם,world,"Dünya çok büyük.",L01-07,1
40,hayat,n,חיים,life,"Hayat güzel.",L01-07,1
41,insan,n,אדם/בן-אנוש,human,"İnsan çok ilginç bir varlık.",L01-07,1
42,şehir,n,עיר,city,"İstanbul büyük bir şehir.",L01-08,1
43,kapı,n,דלת,door,"Kapıyı aç.",L01-09,1
44,oda,n,חדר,room,"Odamda bir yatak var.",L02-01,1
45,yüz,n/num,פנים/מאה,face/hundred,"Yüzü güzel; yüz kişi.",L02-02,1
